,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
64,Miles Bridges,CHA,F,23,38,35.8,74.5,22.3,9.6,147,0.755,357,0.58,227,0.322,0.542,0.573,19.6,7.2,10.6,3.7,15.2,1.16,0.82,1.82,9.0,113.8,110.3
65,Mikal Bridges,PHX,F,25,39,34.0,70.8,13.7,7.3,46,0.848,228,0.592,143,0.406,0.598,0.617,12.4,3.9,6.1,1.8,7.2,1.28,0.46,0.79,5.2,121.9,104.3
66,Oshae Brissett,IND,F-G,23,29,17.7,37.0,15.7,10.8,27,0.556,82,0.512,72,0.375,0.536,0.543,6.2,3.8,11.9,0.8,6.1,0.55,0.24,0.69,6.0,110.1,106.8
67,Malcolm Brogdon,IND,G,29,26,34.3,71.4,24.5,11.6,117,0.855,242,0.529,148,0.311,0.505,0.559,19.0,5.3,8.7,6.1,27.8,0.88,0.42,2.23,9.9,114.9,109.0
68,Armoni Brooks,HOU,G,23,33,18.2,37.8,17.6,7.7,18,0.889,35,0.629,186,0.317,0.5,0.518,7.2,2.0,5.9,1.4,11.8,0.61,0.21,0.58,6.0,105.6,110.4
69,Dillon Brooks,MEM,G-F,25,21,27.9,58.2,29.0,9.1,72,0.889,239,0.469,101,0.327,0.475,0.521,18.4,3.3,6.2,2.7,15.5,1.29,0.19,1.76,7.8,106.0,101.1
70,Chaundee Brown Jr.,LAL,G,23,2,10.3,21.5,16.6,12.5,0,0.0,4,0.25,3,0.0,0.143,0.143,1.0,1.0,5.1,0.0,0.0,0.0,0.0,0.5,0.0,27.0,116.9
71,Charlie Brown Jr.,DAL,G,23,3,5.1,10.7,14.5,0.0,0,0.0,2,0.5,3,0.0,0.2,0.2,0.7,0.3,3.5,0.3,8.7,0.67,0.33,0.0,3.1,55.0,91.5
72,Chaundee Brown Jr.,ATL,G,23,3,27.7,57.7,14.5,0.0,6,0.833,10,0.3,15,0.4,0.48,0.525,9.7,4.7,9.1,1.3,6.5,0.67,0.0,0.0,5.6,117.9,108.0
73,Greg Brown III,POR,F,20,14,5.1,10.7,22.4,13.6,11,0.364,22,0.455,5,0.0,0.37,0.377,1.7,1.4,15.4,0.4,10.4,0.14,0.29,0.36,7.7,84.0,102.7
74,Troy Brown Jr.,CHI,G-F,22,25,14.3,29.8,13.5,6.4,16,0.75,55,0.509,41,0.293,0.479,0.505,4.2,2.7,10.3,1.2,10.8,0.48,0.08,0.28,6.7,111.3,105.6
75,Bruce Brown,BKN,G-F,25,30,22.5,46.9,13.8,9.7,24,0.75,154,0.519,30,0.333,0.516,0.535,6.9,4.5,10.6,1.3,7.8,1.23,0.5,0.7,6.1,111.2,97.9
